route,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
28,k,0.098333333,0.353333333,-0.019230769,0.304166667,0.245833333,0.091176471,0.044166667,0.3975,0.285833333,0.323333333,0.395,0.266666667,0.021666667,0.005833333,0.084057971,0.313333333,0.458333333,0.738333333,0.4575,0.044166667,0.2575,0.225833333,0.225,0.074166667
32,k,-0.235,-0.438333333,-0.75,,0.10952381,0.193939394,0.041666667,0.251041667,0.204545455,0.156060606,0.195,0.123333333,0.138333333,-1.485897436,0.155555556,0.145454545,0.26025641,0.134848485,0.056060606,0.03030303,-0.2,0.033333333,-0.008333333,0.161666667
39,k,0.31372549,0.285714286,,,,0.059803922,0.045098039,-0.3,-0.303921569,-0.356862745,-0.220588235,0.026470588,0.157843137,-0.065686275,0.103333333,-0.023148148,0.373529412,0.762745098,0.155882353,0.089215686,-0.173529412,0.192156863,0.201960784,0.44537037
57,k,0.067857143,0.007142857,,,,0.283333333,0.041666667,0.472619048,0.805952381,0.479761905,-0.170238095,-0.047619048,0.142857143,-0.087777778,0.248039216,0.071428571,-0.055952381,0.61547619,0.298809524,0.004761905,0.108333333,0.036904762,-0.169047619,0.019047619
66,k,0.123958333,-0.152083333,,,0.316666667,0.08125,0.213888889,0.221296296,-0.141666667,0.314583333,0.379166667,0.38125,0.726041667,0.941176471,0.375925926,0.764583333,0.560416667,1.173958333,0.066666667,0.508333333,0.617708333,0.397916667,0.457291667,0.169791667
71,k,0.073611111,2.523611111,-1.054166667,,-0.4,-0.018055556,0.405555556,0.130555556,0.502777778,0.408333333,0.170833333,0.197222222,0.384722222,0.004166667,0.013888889,0.2375,0.091666667,0.311111111,0.306944444,0.009722222,-0.140277778,0.176388889,0.255555556,0.219444444
73,k,-0.508333333,1.994444444,,,-0.193333333,-0.023611111,0.134722222,0.295833333,0.584722222,-0.081944444,-0.123611111,-0.130555556,0.027777778,0.058333333,0.065277778,0.136111111,0.059722222,0.384722222,0.365277778,-0.025,0.205555556,0.002777778,-0.306944444,-0.172222222
77,k,-0.102083333,-0.674242424,-3.683333333,,0.339583333,-0.035294118,-0.093137255,0.219607843,0.082291667,0.075490196,0.006862745,0.26875,0.196875,0.107291667,0.202941176,0.110784314,-0.134313725,0.188541667,-0.16372549,-0.314705882,-0.358333333,-0.23627451,0.026041667,-0.034375
111,k,0.101587302,-0.074242424,,,0.24047619,0.135964912,0.189473684,0.250833333,0.395,0.08,0.115789474,0.121052632,0.200877193,0.170175439,0.685087719,0.285087719,0.288596491,0.400877193,0.2875,0.283333333,0.100793651,-0.06984127,0.050793651,0.180952381
116,k,0.47,1.006666667,,,,0.395,0.438333333,1.021666667,1.288333333,0.588333333,0.691666667,1.103333333,0.62,0.38,0.953333333,0.258333333,0.571666667,1.051666667,0.61,0.183333333,0.533333333,0.561666667,0.168333333,0.018333333
117,k,-0.066666667,-0.616666667,,,0.177777778,0.601282051,0.438888889,0.509722222,0.422222222,0.722222222,0.826388889,0.65,0.568055556,0.4125,0.745833333,0.561111111,0.901388889,0.905555556,0.155555556,0.125,0.286111111,0.259722222,-0.009722222,0.115277778
avg,k,0.069196429,0.364781746,-0.672043011,0.179761905,0.166919192,0.187767584,0.180825959,0.295093795,0.308787879,0.269058296,0.260784314,0.318863636,0.322727273,0.206754772,0.258057851,0.267189836,0.335660661,0.6043379,0.249622926,0.110499266,0.099041298,0.17837037,0.1296875,0.136814815
