Route,Average of scheduledrunning,MIN,KEY/NONKEY,#ofSamples,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
240,245.41,4.09,NK,8262,0.1133,0.0964,0.1200,0.1146,0.1043,0.1685,0.0901,0.0964,0.1095,0.1710,0.1552,0.1045,0.1385,0.0711,0.0538,0.0454,0.0787,-0.0163
225,233.27,3.89,NK,8120,0.0615,0.0792,0.1179,0.0661,0.0212,0.0070,0.0785,0.0327,0.0787,0.1294,0.1845,0.2175,0.0696,-0.0362,0.0341,0.0635,-0.0227,-0.0099
45,233.67,3.89,NK,8106,-0.0029,0.0606,-0.0317,0.0207,0.0392,0.1566,0.0745,0.0499,0.0428,0.0449,0.0952,0.1726,0.1302,0.0888,0.0517,0.1155,0.1173,0.0228
8,334.42,5.57,NK,7997,-0.0033,0.1764,0.1091,0.2252,0.1939,0.1660,0.1302,0.1382,0.1764,0.2706,0.2682,0.1986,0.0446,0.0812,0.1213,0.1639,0.1498,0.1669
16,302.72,5.05,NK,7667,0.0203,0.0531,-0.0118,0.0526,0.2447,0.1464,0.1814,0.1568,0.0503,0.0258,0.1848,0.1705,0.0178,0.0879,0.0636,0.0224,0.0373,0.0254
101,251.2,4.19,NK,7301,0.2198,0.3777,0.2420,0.0759,0.1220,0.1393,0.2062,0.1749,0.2203,0.4087,0.2977,0.2127,0.0614,0.0122,0.1427,0.1223,0.1413,0.1700
7,225.23,3.75,NK,7211,0.1360,0.2255,0.1806,0.1284,-0.0072,0.0405,0.0805,0.1221,0.0810,0.1143,0.1410,0.1609,0.1082,0.0760,0.0821,0.1177,0.0133,
36,225.57,3.76,NK,7154,-0.0393,0.1197,0.0798,0.1330,0.0516,0.0740,0.0085,-0.0643,0.0465,0.1092,0.1998,0.2231,0.1368,0.0609,0.0182,0.0182,0.0334,0.0377
747,209.24,3.49,NK,7130,0.0509,0.0669,0.0133,0.0556,0.0709,0.0524,0.0856,0.0466,0.0934,0.1902,0.0691,0.1719,0.0641,0.0046,-0.2927,,,
47,356.3,5.94,NK,7089,0.1177,0.0918,0.1143,0.0984,0.0792,0.0782,0.1510,0.1175,0.2396,0.2909,0.2496,0.2829,0.1455,0.1175,0.1301,0.1117,0.1441,0.0716
19,238.07,3.97,NK,6938,0.0845,0.0810,0.0416,0.0416,0.0395,0.1084,0.2473,0.1098,0.1848,0.1339,0.2414,0.2197,0.0855,0.1106,0.2646,,,
21,179.44,2.99,NK,6824,0.1627,0.1800,0.1867,0.1137,0.0440,0.0697,0.1131,0.2268,0.1811,0.1248,0.2001,0.1967,0.1103,0.1276,0.0775,0.0752,0.0591,0.0379
701,149.24,2.49,NK,6728,0.0074,0.0858,0.1544,0.2154,0.3206,0.1960,0.1829,0.1464,0.2188,0.2017,0.0714,0.2436,0.1755,0.0788,-0.0529,,,
86,444.81,7.41,NK,6647,-0.1379,-0.0901,-0.0170,-0.0270,-0.1473,-0.0452,0.0086,-0.0461,-0.0541,0.0315,-0.1036,0.0341,0.0789,0.0067,-0.0272,-0.0193,0.0386,0.1388
110,230.61,3.84,NK,6506,-0.0160,0.0772,0.0427,-0.0170,0.0412,-0.0180,0.0152,-0.0192,-0.0034,0.0818,0.0428,0.0827,0.1038,-0.0229,0.0266,0.0186,0.0282,0.0372
87,233.74,3.9,NK,6372,0.1051,0.1739,0.2261,0.1635,0.0813,0.1195,0.0758,0.1161,0.0651,0.0901,0.1442,0.1335,0.0495,-0.0092,-0.0364,-0.0660,-0.0178,-0.0196
29,207.02,3.45,NK,6168,0.1270,0.1418,0.0346,0.0746,0.0869,0.0770,0.1799,0.1193,0.2071,0.0812,0.1653,0.0714,-0.0730,-0.1304,0.0529,0.0185,0.1060,0.0733
10,330.58,5.51,NK,6045,0.0819,0.0597,0.0966,0.1670,0.1379,0.1167,0.1506,0.0588,0.0547,0.0778,0.1026,0.1305,0.0858,0.0624,0.0588,0.0218,-0.0119,0.1770
88,220.57,3.68,NK,5908,-0.0098,0.2542,0.2867,0.0208,-0.0242,-0.0147,0.0144,0.0128,-0.0072,0.0000,0.0654,0.0408,-0.0008,-0.0125,0.0079,-0.0068,0.0740,-0.0113
60,224.67,3.74,NK,5893,0.1537,0.0582,0.0537,0.0914,0.0516,0.0211,0.1047,0.1866,0.1160,0.0436,0.0991,0.2223,0.1487,0.1389,0.0433,0.0145,0.0169,0.0258
